Date,Open,High,Low,Close,Adj Close,Volume
2019-02-19,80.500000,81.519997,80.230003,80.519997,63.921700,5674700
2019-02-20,80.529999,80.599998,79.139999,79.989998,63.500957,5564100
2019-02-21,79.739998,79.910004,78.099998,78.750000,62.516567,6360800
2019-02-22,79.160004,80.190002,78.239998,80.019997,63.524765,5022700
2019-02-25,80.459999,80.620003,79.879997,80.290001,63.739120,5511800
2019-02-26,80.199997,80.860001,80.019997,80.510002,63.913769,4283100
2019-02-27,80.139999,80.139999,78.800003,79.410004,63.040508,4175500
2019-02-28,79.459999,79.709999,78.750000,79.239998,62.905560,6310800
2019-03-01,79.769997,80.849998,79.279999,80.099998,63.588284,8567900
2019-03-04,80.400002,80.730003,79.110001,79.459999,63.080212,5872500
2019-03-05,79.379997,79.900002,78.720001,78.910004,62.643585,5933100
2019-03-06,79.129997,79.129997,77.559998,78.089996,61.992619,5293200
2019-03-07,77.769997,79.120003,77.440002,78.239998,62.111691,6642500
2019-03-08,77.669998,78.040001,77.089996,77.580002,61.587753,6189100
2019-03-11,77.570000,78.309998,77.269997,78.080002,61.984688,8078100
2019-03-12,78.480003,79.139999,78.050003,78.739998,62.508621,6128800
2019-03-13,78.919998,79.300003,78.150002,78.930000,62.659454,5984500
2019-03-14,79.000000,80.400002,78.410004,79.949997,63.469185,6161800
2019-03-15,80.059998,81.459999,79.110001,81.339996,64.572655,12751100
2019-03-18,81.339996,81.750000,80.279999,80.650002,64.024902,5550100
2019-03-19,80.330002,81.290001,79.510002,80.820000,64.159851,6335500
2019-03-20,80.720001,80.910004,80.059998,80.430000,63.850254,5360900
2019-03-21,79.879997,81.309998,79.260002,81.239998,64.493271,5159200
2019-03-22,80.779999,81.989998,79.690002,79.760002,63.318378,4992500
2019-03-25,79.500000,80.040001,78.410004,79.510002,63.119900,4008400
2019-03-26,79.849998,81.190002,79.800003,80.760002,64.112221,4921900
2019-03-27,81.000000,81.000000,79.800003,79.889999,63.421562,4006200
2019-03-28,80.330002,80.489998,79.500000,79.959999,63.477150,3071000
2019-03-29,80.080002,80.900002,79.959999,80.589996,63.977264,7105900
2019-04-01,80.980003,81.110001,79.970001,80.779999,64.128120,4759400
2019-04-02,80.889999,83.489998,80.800003,83.070000,65.946037,6355800
2019-04-03,83.620003,84.730003,82.790001,83.080002,65.953995,6083500
2019-04-04,83.040001,83.379997,82.070000,82.809998,65.739632,4827900
2019-04-05,82.820000,84.180000,82.669998,83.449997,66.247704,3996300
2019-04-08,83.699997,84.000000,82.779999,83.980003,66.668457,3499200
2019-04-09,83.769997,83.779999,82.500000,82.690002,65.644379,3712700
2019-04-10,83.199997,83.379997,82.599998,82.949997,65.850792,3641900
2019-04-11,83.199997,83.250000,81.230003,81.769997,64.914017,9094200
2019-04-12,80.669998,81.809998,79.839996,80.779999,64.978386,5011500
2019-04-15,80.959999,81.510002,80.370003,81.029999,65.179474,3495500
2019-04-16,81.110001,81.300003,80.019997,80.209999,64.519875,3624700
2019-04-17,80.099998,80.199997,77.550003,77.980003,62.726093,6817100
2019-04-18,78.059998,78.209999,76.809998,77.570000,62.396286,7784900
2019-04-22,77.599998,79.099998,77.500000,78.150002,62.862846,5358600
2019-04-23,78.150002,79.660004,77.750000,78.660004,63.273079,9920600
2019-04-24,79.230003,79.589996,78.440002,78.669998,63.281124,7056400
2019-04-25,80.050003,80.470001,76.910004,79.339996,63.820057,10442900
2019-04-26,79.669998,80.650002,79.400002,79.699997,64.109650,5790000
2019-04-29,80.459999,80.980003,79.910004,80.300003,64.592270,6444500
2019-04-30,80.680000,80.690002,78.680000,79.389999,63.860271,9367400
2019-05-01,79.599998,79.680000,78.610001,78.889999,63.458065,5231700
2019-05-02,78.730003,78.779999,77.599998,78.470001,63.120232,5206300
2019-05-03,78.720001,78.800003,78.250000,78.709999,63.313293,4527300
2019-05-06,77.750000,79.519997,77.339996,79.260002,63.755711,5413200
2019-05-07,78.599998,78.989998,77.169998,77.949997,62.701965,4275300
