Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,61.529999,62.320000,49.560001,53.099998,53.099998,114115200
2019-04-01,53.669998,58.250000,45.439999,51.560001,51.560001,207470400
2019-05-01,51.389999,58.240002,49.400002,57.750000,57.750000,225792600
2019-06-01,53.500000,56.709999,51.110001,52.439999,52.439999,157610400
2019-07-01,53.049999,54.889999,49.959999,52.090000,52.090000,103635500
2019-08-01,52.000000,52.349998,44.500000,46.619999,46.619999,106437500
2019-09-01,46.220001,47.529999,42.770000,43.259998,43.259998,88896900
2019-10-01,43.500000,54.439999,41.619999,53.080002,53.080002,130251000
2019-11-01,53.400002,61.290001,50.810001,60.470001,60.470001,96943500
2019-12-01,60.320000,63.790001,57.049999,62.869999,62.869999,77282800
2020-01-01,62.980000,68.639999,60.740002,62.810001,62.810001,117998100
2020-02-01,63.310001,67.449997,50.459999,53.020000,53.020000,109356600
2020-03-01,53.509998,63.970001,43.959999,59.410000,59.410000,176776300
2020-04-01,56.360001,74.699997,53.830002,66.580002,66.580002,102879300
2020-05-01,65.349998,70.620003,62.369999,66.250000,66.250000,65577400
2020-06-01,66.040001,67.260002,59.540001,63.549999,63.549999,110916200
2020-07-01,63.970001,68.449997,62.180000,65.250000,65.250000,67509800
2020-08-01,65.650002,65.919998,58.369999,61.320000,61.320000,58162500
2020-09-01,61.119999,62.779999,53.599998,58.330002,58.330002,80186600
2020-10-01,58.360001,68.639999,57.599998,59.099998,59.099998,65101600
2020-11-01,60.020000,72.309998,59.840000,61.650002,61.650002,82079800
2020-12-01,62.520000,65.550003,57.560001,60.029999,60.029999,82545300
2021-01-01,60.610001,70.260002,57.799999,60.299999,60.299999,78599100
2021-02-01,60.250000,62.330002,57.160000,58.540001,58.540001,69462100
2021-03-01,59.009998,66.320000,58.369999,63.910000,63.910000,71586700
2021-04-01,63.840000,66.680000,59.330002,61.740002,61.740002,83739100
2021-05-01,61.450001,74.519997,61.450001,73.599998,73.599998,105015400
2021-06-01,73.870003,75.250000,68.459999,72.930000,72.930000,86752600
2021-07-01,73.139999,75.589996,68.250000,68.610001,68.610001,66342600
2021-08-01,68.620003,70.459999,62.380001,62.980000,62.980000,72779400
2021-09-01,63.389999,65.050003,59.669998,62.310001,62.310001,72230300
2021-10-01,62.669998,72.820000,60.810001,71.239998,71.239998,82271800
2021-11-01,70.389999,77.650002,68.449997,71.410004,71.410004,79696800
2021-12-01,72.300003,85.440002,69.510002,82.400002,82.400002,99277300
2022-01-01,83.139999,83.139999,74.470001,77.760002,77.760002,73349000
2022-02-01,78.029999,86.809998,76.029999,82.620003,82.620003,48398300
2022-03-01,82.250000,88.610001,81.320000,84.190002,84.190002,63114200
2022-04-01,84.959999,89.919998,80.169998,80.550003,80.550003,49912600
2022-05-01,80.989998,87.339996,78.129997,81.440002,81.440002,66668600
2022-06-01,81.900002,86.980003,74.860001,84.610001,84.610001,59091500
2022-07-01,84.730003,94.580002,81.750000,92.970001,92.970001,57381800
2022-08-01,93.150002,98.529999,87.160004,89.739998,89.739998,62561600
2022-09-01,89.449997,93.580002,76.610001,77.809998,77.809998,98215800
2022-10-01,78.440002,86.610001,73.190002,85.129997,85.129997,78745200
2022-11-01,85.209999,87.180000,79.010002,87.050003,87.050003,74629000
2022-12-01,87.410004,87.839996,79.389999,82.010002,82.010002,64721600
2023-01-01,82.000000,83.610001,74.589996,76.239998,76.239998,75484000
2023-02-01,76.040001,76.300003,68.059998,68.400002,68.400002,84566100
2023-03-01,67.870003,69.820000,61.709999,63.209999,63.209999,88848400
2023-04-01,64.610001,70.669998,63.810001,68.930000,68.930000,72714500
2023-05-01,68.910004,69.419998,61.340000,62.410000,62.410000,60983300
2023-06-01,62.689999,69.820000,62.470001,67.449997,67.449997,69174300
2023-07-01,67.120003,71.660004,63.549999,68.089996,68.089996,72405400
2023-08-01,68.150002,68.830002,61.630001,61.650002,61.650002,65372400
2023-09-01,61.950001,70.970001,60.830002,68.879997,68.879997,77820800
2023-10-01,68.669998,73.470001,67.050003,68.980003,68.980003,62474600
2023-11-01,68.709999,74.650002,68.050003,73.680000,73.680000,64001900
2023-12-01,73.540001,77.830002,72.050003,74.209999,74.209999,67970400
2024-01-01,75.000000,79.830002,71.809998,75.309998,75.309998,63786600
2024-02-01,75.160004,78.459999,71.480003,78.300003,78.300003,31977900
2024-02-16,77.730003,79.000000,78.070000,78.699997,78.699997,618666
