Date,Open,High,Low,Close,Adj Close,Volume
2019-02-18,64.660004,65.480003,63.189999,64.010002,64.010002,10456900
2019-02-25,64.349998,64.500000,59.930000,61.340000,61.340000,15672800
2019-03-04,61.290001,61.759998,55.900002,56.560001,56.560001,20104800
2019-03-11,56.810001,60.320000,56.099998,59.150002,59.150002,16728500
2019-03-18,59.209999,60.590000,57.049999,57.139999,57.139999,14528400
2019-03-25,57.040001,58.150002,49.560001,53.099998,53.099998,59511100
2019-04-01,53.669998,56.150002,53.060001,55.840000,55.840000,35197400
2019-04-08,55.840000,58.250000,52.360001,52.919998,52.919998,48744400
2019-04-15,53.070000,53.980000,45.439999,48.200001,48.200001,56127600
2019-04-22,48.410000,52.669998,46.849998,52.630001,52.630001,49852200
2019-04-29,52.509998,52.939999,49.400002,52.590000,52.590000,43310900
2019-05-06,51.410000,57.450001,51.349998,55.049999,55.049999,70646300
2019-05-13,53.849998,56.529999,53.380001,56.040001,56.040001,66339400
2019-05-20,55.619999,57.509998,54.580002,56.869999,56.869999,35619000
2019-05-27,56.889999,58.240002,54.919998,57.750000,57.750000,27425800
2019-06-03,53.500000,54.580002,51.110001,54.209999,54.209999,70118100
2019-06-10,54.740002,55.549999,53.060001,53.549999,53.549999,28691800
2019-06-17,53.650002,56.709999,53.590000,56.369999,56.369999,27830400
2019-06-24,56.360001,56.700001,51.270000,52.439999,52.439999,30970100
2019-07-01,53.049999,53.169998,50.450001,51.480000,51.480000,17102200
2019-07-08,51.290001,54.599998,49.959999,54.509998,54.509998,27408100
2019-07-15,54.730000,54.889999,52.220001,52.660000,52.660000,19249900
2019-07-22,52.750000,53.900002,50.389999,53.419998,53.419998,27099700
2019-07-29,53.360001,54.279999,50.119999,50.970001,50.970001,22995800
2019-08-05,50.220001,50.509998,47.029999,48.700001,48.700001,29561800
2019-08-12,48.360001,50.000000,47.060001,48.009998,48.009998,20554000
2019-08-19,48.669998,48.669998,44.500000,44.720001,44.720001,23071200
2019-08-26,45.099998,47.009998,44.529999,46.619999,46.619999,23030300
2019-09-02,46.220001,46.669998,45.500000,45.889999,45.889999,11342800
2019-09-09,45.910000,47.529999,44.810001,45.400002,45.400002,24974600
2019-09-16,45.150002,47.169998,45.150002,46.389999,46.389999,25628000
2019-09-23,46.119999,46.759998,42.770000,43.169998,43.169998,22118400
2019-09-30,43.090000,43.730000,41.619999,43.570000,43.570000,26392500
2019-10-07,43.509998,45.240002,42.630001,44.270000,44.270000,24706600
2019-10-14,44.119999,47.290001,43.709999,46.880001,46.880001,23851100
2019-10-21,47.200001,49.580002,45.220001,48.230000,48.230000,29798400
2019-10-28,48.250000,54.439999,48.099998,52.130001,52.130001,35833500
2019-11-04,52.389999,55.110001,50.810001,55.060001,55.060001,25610900
2019-11-11,54.590000,58.180000,53.709999,57.560001,57.560001,27170200
2019-11-18,57.880001,60.369999,57.880001,59.450001,59.450001,26067600
2019-11-25,59.689999,61.290001,59.590000,60.470001,60.470001,12596800
2019-12-02,60.320000,61.290001,58.529999,60.980000,60.980000,16671700
2019-12-09,61.180000,61.220001,57.049999,57.709999,57.709999,21088400
2019-12-16,58.060001,63.490002,57.639999,61.930000,61.930000,26405800
2019-12-23,62.290001,63.669998,61.750000,63.650002,63.650002,8754300
2019-12-30,63.779999,63.790001,60.740002,61.160000,61.160000,14296800
2020-01-06,61.049999,64.989998,60.950001,64.480003,64.480003,16944600
2020-01-13,64.309998,65.180000,62.830002,64.540001,64.540001,19247600
2020-01-20,64.230003,68.639999,64.209999,66.610001,66.610001,30703900
2020-01-27,65.620003,65.879997,62.189999,62.810001,62.810001,41167800
2020-02-03,63.310001,66.339996,60.500000,63.160000,63.160000,31804800
2020-02-10,63.150002,67.070000,62.500000,64.940002,64.940002,23669400
2020-02-17,65.029999,67.449997,64.779999,65.489998,65.489998,21080000
